Country,Year,CO2eq,CO2eq.2005,d.2005,GDP,t.CO2,EM.IN
AUT,2005,74.17,74.17,0,3.39655e+11,74170000,218.368638765807
AUT,2006,81.09,74.17,9.32991775650533,3.51387e+11,81090000,230.771200983531
AUT,2007,81.7,74.17,10.1523527032493,3.64485e+11,81700000,224.151885537128
AUT,2008,74.4,74.17,0.310098422542812,3.69808e+11,74400000,201.185480032882
AUT,2009,72.09,74.17,-2.80436834299582,3.55886e+11,72090000,202.564866277403
AUT,2010,64.93,74.17,-12.4578670621545,3.62424e+11,64930000,179.154802110236
AUT,2011,67.15,74.17,-9.46474315761089,3.73017e+11,67150000,180.018605050172
AUT,2012,74.02,74.17,-0.20223810165836,3.75555e+11,74020000,197.094966116814
AUT,2013,73.99,74.17,-0.242685721990032,3.75651e+11,73990000,196.96473588517
AUT,2014,69.05,74.17,-6.9030605366051,3.78135e+11,69050000,182.606740978751
AUT,2015,72.32,74.17,-2.49426992045303,3.81971e+11,72320000,189.333745231968
AUT,2016,72.83,74.17,-1.80666037481462,3.8957e+11,72830000,186.949713786996
AUT,2017,78.88,74.17,6.35027639207226,3.98369e+11,78880000,198.007375071855
AUT,2018,83.78,74.17,12.9567210462451,4.08031e+11,83780000,205.327536388167
AUT,2019,82.13,74.17,10.7321019280032,4.14222e+11,82130000,198.275320963155
AUT,2020,68.69,74.17,-7.38843198058515,3.87489e+11,68690000,177.269548296855
AUT,2021,67.13,74.17,-9.49170823783201,4.05146e+11,67130000,165.693354988078
BEL,2005,143.65,143.65,0,4.02652e+11,143650000,356.759683299723
BEL,2006,140.97,143.65,-1.86564566655065,4.12929e+11,140970000,341.390408520593
BEL,2007,137.65,143.65,-4.17681865645667,4.28112e+11,137650000,321.528011361513
BEL,2008,137.67,143.65,-4.16289592760182,4.30025e+11,137670000,320.144177664089
BEL,2009,125.25,143.65,-12.8089105464671,4.21336e+11,125250000,297.26868817286
BEL,2010,133.28,143.65,-7.21893491124261,4.33404e+11,133280000,307.519081503632
BEL,2011,122.9,143.65,-14.4448311869126,4.40748e+11,122900000,278.844146768675
BEL,2012,120.17,143.65,-16.3452836756004,4.44006e+11,120170000,270.649495727535
BEL,2013,119.6,143.65,-16.7420814479638,4.46045e+11,119600000,268.134381060207
BEL,2014,113.97,143.65,-20.6613296206056,4.53086e+11,113970000,251.541649929594
BEL,2015,118.13,143.65,-17.7654020187957,4.62336e+11,118130000,255.506817552602
BEL,2016,116.65,143.65,-18.795683954055,4.68192e+11,116650000,249.149921399768
BEL,2017,116.26,143.65,-19.0671771667247,4.75775e+11,116260000,244.359203404971
BEL,2018,116.98,143.65,-18.5659589279499,4.84305e+11,116980000,241.542003489537
BEL,2019,115.98,143.65,-19.2620953706927,4.95158e+11,115980000,234.228266533107
BEL,2020,106.94,143.65,-25.5551688130874,4.6861e+11,106940000,228.206824438232
BEL,2021,110.63,143.65,-22.9864253393665,4.97354e+11,110630000,222.437137330754
BGR,2005,45.9,45.9,0,40066366470,45900000,1145.59926551782
BGR,2006,49.95,45.9,8.82352941176472,42791916799,49950000,1167.27652642023
