Country,Year,CO2eq
AUT,1990,66.84
AUT,1991,63.51
AUT,1992,66.62
AUT,1993,59.46
AUT,1994,67.05
AUT,1995,60.18
AUT,1996,64.26
AUT,1997,60.04
AUT,1998,62.76
AUT,1999,59.98
AUT,2000,66.34
AUT,2001,55.09
AUT,2002,73.08
AUT,2003,76.33
AUT,2004,69
AUT,2005,74.17
AUT,2006,81.09
AUT,2007,81.7
AUT,2008,74.4
AUT,2009,72.09
AUT,2010,64.93
AUT,2011,67.15
AUT,2012,74.02
AUT,2013,73.99
AUT,2014,69.05
AUT,2015,72.32
AUT,2016,72.83
AUT,2017,78.88
AUT,2018,83.78
AUT,2019,82.13
AUT,2020,68.69
AUT,2021,67.13
BEL,1990,142.91
BEL,1991,146.11
BEL,1992,145.79
BEL,1993,144.59
BEL,1994,149.39
BEL,1995,151.3
BEL,1996,154.75
BEL,1997,146.79
BEL,1998,151.43
BEL,1999,145.63
BEL,2000,147.19
BEL,2001,145.8
BEL,2002,145.31
BEL,2003,145.73
BEL,2004,146.82
BEL,2005,143.65
BEL,2006,140.97
BEL,2007,137.65
BEL,2008,137.67
BEL,2009,125.25
BEL,2010,133.28
BEL,2011,122.9
BEL,2012,120.17
BEL,2013,119.6
BEL,2014,113.97
BEL,2015,118.13
BEL,2016,116.65
BEL,2017,116.26
BEL,2018,116.98
BEL,2019,115.98
BEL,2020,106.94
BEL,2021,110.63
BGR,1990,82.57
BGR,1991,64.43
BGR,1992,59.37
BGR,1993,58.37
BGR,1994,54.19
BGR,1995,55.64
BGR,1996,56.67
BGR,1997,53.21
BGR,1998,49.39
BGR,1999,42.44
BGR,2000,40.3
BGR,2001,45.84
BGR,2002,42.95
BGR,2003,48.29
BGR,2004,46.62
BGR,2005,45.9
BGR,2006,49.95
BGR,2007,52.93
BGR,2008,53.23
BGR,2009,44.27
BGR,2010,47.51
BGR,2011,56.21
BGR,2012,51.65
BGR,2013,47.57
BGR,2014,49.37
BGR,2015,52.73
BGR,2016,48.29
BGR,2017,50.29
BGR,2018,45.8
BGR,2019,44.58
BGR,2020,38.58
BGR,2021,44.77
BLR,1990,115.94
BLR,1991,110.08
BLR,1992,97.65
BLR,1993,90.56
BLR,1994,66.18
BLR,1995,58.02
BLR,1996,59.37
BLR,1997,60.33
BLR,1998,60.52
BLR,1999,50.87
BLR,2000,46.51
BLR,2001,46.11
BLR,2002,47.01
BLR,2003,51.41
BLR,2004,52.57
BLR,2005,52.46
BLR,2006,53.05
BLR,2007,49.1
BLR,2008,52.13
BLR,2009,47
BLR,2010,45.74
BLR,2011,46.09
BLR,2012,48.99
BLR,2013,48.44
BLR,2014,47.77
BLR,2015,44.5
BLR,2016,47.45
BLR,2017,52.29
BLR,2018,52.29
BLR,2019,56.66
BLR,2020,52.49
BLR,2021,48.91
CAN,1990,524.1
CAN,1991,513.55
CAN,1992,542.23
CAN,1993,554
CAN,1994,564.96
CAN,1995,596.7
CAN,1996,612.87
CAN,1997,624.81
CAN,1998,624.9
CAN,1999,644.87
CAN,2000,681.69
CAN,2001,663.77
CAN,2002,703.8
CAN,2003,723.24
CAN,2004,724.29
CAN,2005,726.68
CAN,2006,705.96
CAN,2007,731.19
CAN,2008,709.43
CAN,2009,640.75
CAN,2010,683.69
CAN,2011,699.36
CAN,2012,695.18
CAN,2013,703.36
CAN,2014,680.88
CAN,2015,722.94
CAN,2016,693.97
CAN,2017,696.01
CAN,2018,713.32
CAN,2019,704.86
CAN,2020,645.4
CAN,2021,653.13
CHE,1990,53.17
CHE,1991,51.93
CHE,1992,52.56
CHE,1993,49.71
CHE,1994,49.94
CHE,1995,50.02
CHE,1996,49.01
CHE,1997,49.49
CHE,1998,51.97
CHE,1999,52.18
CHE,2000,59.1
CHE,2001,54.53
CHE,2002,51.22
CHE,2003,52.32
CHE,2004,52.83
CHE,2005,53.2
CHE,2006,53.84
CHE,2007,52.98
CHE,2008,53.15
CHE,2009,50.57
