Country,Year,Cattle Type,Population,GE,Ym,IEF,CH4.kt,Type.A,Total.Pop,Share.Pop,Weight,Milk Yield,DE
AUT,1990,dairy cattle,904.617,253.79869642220234,6.5,108.20079196076823,97.88027582117427,Dairy Cattle,904.617,1,676.0571024999998,10.38630136986301,66.47928166666668
AUT,1990,non-dairy cattle,1679.297,121.59718526173874,5.22303849814225,44.94196677859218,75.47090998538953,Non-Dairy Cattle,1679.297,1,324.9614361651984,NA,76.93179148921314
AUT,1991,dairy cattle,876,254.63906852564833,6.49310344827586,108.44388177484606,94.99684043476515,Dairy Cattle,876,1,676.1143589999998,10.54142602823305,66.56303956390367
AUT,1991,non-dairy cattle,1658.266,123.18407966939473,5.24757415640424,45.71258840779159,75.80363112863493,Non-Dairy Cattle,1658.266,1,330.959597938532,NA,76.69923244507532
AUT,1992,dairy cattle,841.716,255.53028616128805,6.48620689655172,108.70784206606844,91.50112999248286,Dairy Cattle,841.716,1,676.1716154999998,10.70549788032543,66.65162840252825
AUT,1992,non-dairy cattle,1559.009,123.97998079244417,5.26442124257498,46.13212296295561,71.92039488835447,Non-Dairy Cattle,1559.009,1,333.60260675361883,NA,76.54073874657637
AUT,1993,dairy cattle,828.147,257.5399891883894,6.47931034482758,109.44631687270746,90.63763897918206,Dairy Cattle,828.147,1,676.2288719999999,10.9517360415902,66.78458205943716
AUT,1993,non-dairy cattle,1505.74,133.52901472493662,5.60661868291706,51.51533792481941,77.56870492691758,Non-Dairy Cattle,1505.74,1,366.5345155298396,NA,74.516499583304
AUT,1994,dairy cattle,809.977,259.1204452431021,6.47241379310344,110.00075139466202,89.09807861239416,Dairy Cattle,809.977,1,678.4460169565212,11.16712328767123,66.90087809523811
AUT,1994,non-dairy cattle,1518.541,134.39991327728924,5.58357165668639,51.80441066418247,78.66712157439831,Non-Dairy Cattle,1518.541,1,366.65349916772806,NA,74.50137765501064
AUT,1995,dairy cattle,706.494,268.3033464611718,6.46551724137931,113.77767619937686,80.38324556880255,Dairy Cattle,706.494,1,680.6761019565214,12.6534303594043,67.70339367390176
AUT,1995,non-dairy cattle,1619.331,142.83799297777722,5.63400003148134,55.6487384614714,90.11372730155293,Non-Dairy Cattle,1619.331,1,388.9184462146664,NA,73.57229861352597
AUT,1996,dairy cattle,697.521,269.6515064932208,6.45862068965517,114.2274090879312,79.67601661442286,Dairy Cattle,697.521,1,682.6858310869561,12.79379301396454,67.77918098534597
AUT,1996,non-dairy cattle,1574.428,143.01829547026358,5.61764893664531,55.66257481971866,87.63671634826001,Non-Dairy Cattle,1574.428,1,389.0797658666981,NA,73.5155846788831
AUT,1997,dairy cattle,699.811,271.89728283544815,6.45172413793103,115.05575667352599,80.5172841334569,Dairy Cattle,699.811,1,684.6972481521734,13.11418714846118,67.95217436547313
AUT,1997,non-dairy cattle,1498.129,143.02619560244185,5.64636673092632,55.79139969444894,83.58271383284509,Non-Dairy Cattle,1498.129,1,391.1534446611582,NA,73.31422006177746
AUT,1998,dairy cattle,728.718,274.60893795240906,6.44482758620689,116.07900259445678,84.58885861262735,Dairy Cattle,728.718,1,686.7103531521734,13.49082441544969,68.15553562238429
AUT,1998,non-dairy cattle,1442.963,140.07063056383603,5.6407201864501,54.48859388717987,78.62502490122672,Non-Dairy Cattle,1442.963,1,382.9964275588685,NA,73.51635457845943
AUT,1999,dairy cattle,697.903,277.316991874031,6.43793103448275,117.09827474518556,81.72323723948924,Dairy Cattle,697.903,1,688.7251460869561,13.86765128614946,68.35899925378787
AUT,1999,non-dairy cattle,1454.908,141.8511601032297,5.65146543564196,55.30089909409713,80.45772049919466,Non-Dairy Cattle,1454.908,1,387.5016554046626,NA,73.3193942719996
AUT,2000,dairy cattle,621.002,279.55222758275596,6.43103448275862,117.91566138195712,73.22586154951813,Dairy Cattle,621.002,1,690.7416269565214,14.27368211001904,68.578231246806
AUT,2000,non-dairy cattle,1534.445,145.1238676772587,5.59643662422977,56.47535718012241,86.65832944825293,Non-Dairy Cattle,1534.445,1,393.6924277732687,NA,73.26839047767642
AUT,2001,dairy cattle,597.981,283.2840230338875,6.42413793103448,119.3616006710216,71.37596933085817,Dairy Cattle,597.981,1,692.7597957608692,14.77754401795537,68.85028608547577
AUT,2001,non-dairy cattle,1520.473,145.15010401819396,5.57478398089782,56.37146903295901,85.71129663495029,Non-Dairy Cattle,1520.473,1,391.1715770558412,NA,73.30468343001208
AUT,2002,dairy cattle,588.971,284.9597961745894,6.41724137931034,119.93878981846665,70.64046897817212,Dairy Cattle,588.971,1,694.7796524999997,15.03384255432068,68.98867173413048
AUT,2002,non-dairy cattle,1477.971,145.2021029290614,5.58511472032427,56.42052596060128,83.38790117451583,Non-Dairy Cattle,1477.971,1,391.0166063884971,NA,73.2448509820673
AUT,2003,dairy cattle,557.877,288.02054386698086,6.4103448275862,121.09676843125555,67.55710188212355,Dairy Cattle,557.877,1,696.8011971739128,15.4470551269071,69.21178143542095
AUT,2003,non-dairy cattle,1494.156,145.45580112121684,5.58080268088583,56.48423471288762,84.39625820166931,Non-Dairy Cattle,1494.156,1,394.7796718484612,NA,73.18244730774508
AUT,2004,dairy cattle,537.953,291.22841654541577,6.40344827586207,122.31376948078541,65.79905923349695,Dairy Cattle,537.953,1,698.5418854347826,15.89571776986969,69.45403202238886
