Cattle Type,Population,kg,VS,B0,IEF,CH4.kt,Type.A,Country,Year,Nitrogen excretion rate,Typical animal mass,Anarobic.Lagoon,Liquid.System,Daily.Spread,Solid.Storage,Pasture,Composting,Digester,Burned,Other,Total.N,Total.N.Vol,Total.N.Leaching,Direct.IEF,Indirect.IEF.Atmos,Indirect.IEF.Leaching,Direct.N2O,Indirect.N2O.Atmos,Indirect.N2O.Leaching,N2O.Vol.IEF,N2O.Runoff.IEF
dairy cattle,904.617,676.0571024999998,4.70585372756173,0.24,11.32194517466531,10.24202407807021,Dairy Cattle,AUT,1990,91.047239107814,676.0571025,,26894765.8681325,,40704266.1707878,8771646.7519493,2575444.84840571,12259.1055631373,,3404497.55515504,82362880.2999934,,,0.60149101156754,,,0.54411899441119,,,0.00197735490006075,0
non-dairy cattle,1679.297,324.9614361651984,1.8862734860391,0.18,3.84321507056756,6.4538995383589,Non-Dairy Cattle,AUT,1990,44.2652770602596,324.961436165198,,20216443.0584302,,33221275.3836659,7536311.3302914,1949768.72186014,11064.1475260697,,11399684.3296891,74334546.9714627,,,0.33619298316231,,,0.56456786804551,,,0.00197735490006075,0
dairy cattle,876.0,676.1143589999998,4.71089592575933,0.24,11.32612860814174,9.92168866073216,Dairy Cattle,AUT,1991,91.126301203992,676.114359,,26061059.1005998,,39436966.5055234,8158282.59315004,2683430.57052511,16885.135428467,,3470015.94947028,79826639.854697,,,0.60240559200828,,,0.52770729859925,,,0.0020284516359466,0
non-dairy cattle,1658.266,330.959597938532,1.92291844121747,0.18,3.91004964088543,6.48390237779252,Non-Dairy Cattle,AUT,1991,44.7405369369891,330.959597938532,,20145456.9736519,,33103632.2201188,7326393.9631956,2089292.38566266,15693.2208843212,,11511242.46084,74191711.2243532,,,0.33950601651122,,,0.56299128397599,,,0.0020284516359466,0
dairy cattle,841.716,676.1716154999998,4.71619707786043,0.24,11.33119871224818,9.53765125527869,Dairy Cattle,AUT,1992,91.0272158948114,676.1716155,,25009548.5789275,,37839689.1433317,7501006.37089807,2755372.48054038,19353.3223855667,,3494094.15803388,76619064.0541171,,,0.60219945956639,,,0.50688092030838,,,0.00204626002510782,0
non-dairy cattle,1559.009,333.60260675361883,1.94377791122097,0.18,3.94600755224784,6.15186128802235,Non-Dairy Cattle,AUT,1992,45.0016113616727,333.602606753619,,18974726.9155216,,31271875.0495363,6748771.64613569,2113712.31589122,17721.2917545749,,11031109.9085105,70157917.1273499,,,0.34139874023342,,,0.53224370861257,,,0.00204626002510782,0
dairy cattle,828.147,676.2288719999999,4.73636830389109,0.24,11.37136212712552,9.41715943149262,Dairy Cattle,AUT,1993,91.1285677305262,676.228872,,24627508.3062319,,37257286.4357645,7063790.75815908,2891038.43119109,25578.3941183055,,3602647.65486719,75467849.9803321,,,0.60333403658899,,,0.49964927239906,,,0.00206107007271309,0
non-dairy cattle,1505.74,366.5345155298396,2.15892436302218,0.18,4.39169529985871,6.61275128080925,Non-Dairy Cattle,AUT,1993,47.4726761590518,366.53451552984,,19969539.2862719,,31519490.3078609,6788352.78807882,2253420.11379857,24227.2990275645,,10926477.6046928,71481507.3997306,,,0.35637986151832,,,0.5366154126826,,,0.00206107007271309,0
dairy cattle,809.977,678.4460169565212,4.75054245951265,0.24,11.38967926387325,9.22537824111426,Dairy Cattle,AUT,1994,91.5358221167672,678.446016956521,,24164197.7737294,,36571794.1304698,6620872.61574708,3014198.964597,73273.2983210826,,3697573.80780834,74141910.5906728,,,0.60619256137052,,,0.49100203228121,,,0.00206700039056329,0
non-dairy cattle,1518.541,366.65349916772806,2.17882791818522,0.18,4.42195686133698,6.71492279417152,Non-Dairy Cattle,AUT,1994,47.7590395579012,366.653499167728,,19990786.7262489,,31966050.5730236,6678341.94428276,2432244.71728492,71674.401411207,,11384961.3270434,72524059.6892949,,,0.35965968993034,,,0.54615798520651,,,0.00206700039056329,0
