Country,Year,Emission.Source,Description,Application,IEF,Emissions.kt,FracGASF,FracGASM,FracLEACH-(H),Emission
AUT,1990,Direct N2O emissions,,,,6.70292050087037,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Inorganic N emissions,N input from application of inorganic fertilizers to cropland and grassland,139979000,0.01,2.19967,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Organic N emissions,N input from organic N fertilizers to cropland and grassland,165383158.990611,0.01,2.59887821270959,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,N from grazing animals,"N excretion on pasture, range and paddock",18864331.0328407,0.01877715654248,0.55662906651442,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Crop residues,N in crop residues returned to soils,74889641.9423156,0.01,1.1768372305221,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Mineralization/immobilization,N in mineral soils that is mineralized in association with loss of soil C,253555.798816775,0.01,0.00398444826712,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Organic Soils,Area of cultivated organic soils,12954,8.19999999999987,0.16692154285714,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Other,,,,,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Indirect N2O emissions,,,,1.28556354936158,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Atmospheric deposition,Volatilized N from agricultural inputs of N,36418227.6419446,0.01,0.57228643437341,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,leaching and run-off,N from fertilizers and other agricultural inputs that is lost through leaching and run-off,60520482.4838451,0.0075,0.71327711498817,0.04876647344504,0.1606097616408,0.15154,N2O
AUT,1990,Urea,,13085.3571428571,0.2,9.59592857142857,,,,CO2
AUT,1990,Other carbon-containing fertlizers,,66898.2010582011,0.125,30.6616754850088,,,,CO2
AUT,1991,Direct N2O emissions,,,,6.6314908961254,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Inorganic N emissions,N input from application of inorganic fertilizers to cropland and grassland,139536000,0.01,2.19270857142857,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Organic N emissions,N input from organic N fertilizers to cropland and grassland,164314710.858694,0.01,2.58208831349377,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,N from grazing animals,"N excretion on pasture, range and paddock",18201039.9176436,0.01864426245227,0.53325637377394,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Crop residues,N in crop residues returned to soils,73343276.5414633,0.01,1.15253720279442,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Mineralization/immobilization,N in mineral soils that is mineralized in association with loss of soil C,253202.204026388,0.01000000000001,0.00397889177756,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Organic Soils,Area of cultivated organic soils,12954,8.19999999999987,0.16692154285714,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Other,,,,,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Indirect N2O emissions,,,,1.27448359218356,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Atmospheric deposition,Volatilized N from agricultural inputs of N,36136101.7944681,0.01,0.56785302819879,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,leaching and run-off,N from fertilizers and other agricultural inputs that is lost through leaching and run-off,59956532.7017378,0.0075,0.70663056398477,0.0487691057527,0.16070424458929,0.15154,N2O
AUT,1991,Urea,,15784.2857142857,0.2,11.5751428571429,,,,CO2
AUT,1991,Other carbon-containing fertlizers,,67245.291005291,0.125,30.820758377425,,,,CO2
AUT,1992,Direct N2O emissions,,,,6.34474826183503,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Inorganic N emissions,N input from application of inorganic fertilizers to cropland and grassland,137420500,0.01,2.159465,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Organic N emissions,N input from organic N fertilizers to cropland and grassland,157880734.746792,0.01,2.48098297459245,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,N from grazing animals,"N excretion on pasture, range and paddock",16922090.7021838,0.01855927296283,0.49352552926863,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Crop residues,N in crop residues returned to soils,66174178.2261872,0.01,1.03987994355437,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Mineralization/immobilization,N in mineral soils that is mineralized in association with loss of soil C,252844.553973753,0.00999999999999,0.00397327156244,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Organic Soils,Area of cultivated organic soils,12954,8.19999999999987,0.16692154285714,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Other,,,,,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Indirect N2O emissions,,,,1.21990095825074,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Atmospheric deposition,Volatilized N from agricultural inputs of N,34594555.6516099,0.01,0.54362873166816,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,leaching and run-off,N from fertilizers and other agricultural inputs that is lost through leaching and run-off,57380673.7706435,0.0075,0.67627222658258,0.04790272284514,0.16024763590018,0.15154,N2O
AUT,1992,Urea,,18572.1428571429,0.2,13.6195714285714,,,,CO2
AUT,1992,Other carbon-containing fertlizers,,67687.619047619,0.125,31.0234920634921,,,,CO2
AUT,1993,Direct N2O emissions,,,,6.22492280603554,0.04688937640881,0.16059006203121,0.15154,N2O
AUT,1993,Inorganic N emissions,N input from application of inorganic fertilizers to cropland and grassland,130196000,0.01,2.04593714285714,0.04688937640881,0.16059006203121,0.15154,N2O
