Country,Year,Category,CO2,CH4,N2O,CO2eq.kt
AUT,1990,Total Agriculture,85.9232455060722,203.135964001771,9.90935466602342,8117.31003602532
AUT,1990,Enteric Fermentation,0,180.520885156673,0,4513.02212891682
AUT,1990,Manure Management,0,22.5824385809659,1.92002438672138,1136.72823176712
AUT,1990,Rice cultivation,0,0,0,0
AUT,1990,Agricultural soils,0,0,7.98848405023195,2380.56824696912
AUT,1990,Prescribed Burning of Savannas,0,0,0,0
AUT,1990,Field Burning of Agricultural Residues,0,0.03264026413217,0.00084622907009,1.06818286619107
AUT,1990,Liming,45.6656414496348,0,0,45.6656414496348
AUT,1990,Urea Application,9.59592857142857,0,0,9.59592857142857
AUT,1990,Other Carbon-containing Fertilizers,30.6616754850088,0,0,30.6616754850088
AUT,1990,Other Sources,0,0,0,0
AUT,1991,Total Agriculture,86.6344913889017,200.743415569981,9.82320575619569,8032.53519598474
AUT,1991,Enteric Fermentation,0,178.331433798835,0,4458.28584497088
AUT,1991,Manure Management,0,22.3804035468564,1.91641257318294,1130.60103547993
AUT,1991,Rice cultivation,0,0,0,0
AUT,1991,Agricultural soils,0,0,7.90597448830896,2355.98039751607
AUT,1991,Prescribed Burning of Savannas,0,0,0,0
AUT,1991,Field Burning of Agricultural Residues,0,0.03157822428911,0.00081869470379,1.03342662895717
AUT,1991,Liming,44.2385901543338,0,0,44.2385901543338
AUT,1991,Urea Application,11.5751428571429,0,0,11.5751428571429
AUT,1991,Other Carbon-containing Fertilizers,30.820758377425,0,0,30.820758377425
AUT,1991,Other Sources,0,0,0,0
AUT,1992,Total Agriculture,90.3087049416983,192.347505923635,9.40529677213172,7701.77479112783
AUT,1992,Enteric Fermentation,0,170.825288553261,0,4270.63221383152
AUT,1992,Manure Management,0,21.4900408379801,1.83981334565055,1085.51539795337
AUT,1992,Rice cultivation,0,0,0,0
AUT,1992,Agricultural soils,0,0,7.56464922008577,2254.26546758556
AUT,1992,Prescribed Burning of Savannas,0,0,0,0
AUT,1992,Field Burning of Agricultural Residues,0,0.03217653239415,0.0008342063954,1.05300681568295
AUT,1992,Liming,45.6656414496348,0,0,45.6656414496348
AUT,1992,Urea Application,13.6195714285714,0,0,13.6195714285714
AUT,1992,Other Carbon-containing Fertilizers,31.0234920634921,0,0,31.0234920634921
AUT,1992,Other Sources,0,0,0,0
AUT,1993,Total Agriculture,87.8620562895668,197.560914073255,9.25881112461135,7786.01062325512
AUT,1993,Enteric Fermentation,0,175.826695405937,0,4395.66738514843
AUT,1993,Manure Management,0,21.7061568849926,1.83122335169032,1088.35848092853
AUT,1993,Rice cultivation,0,0,0,0
AUT,1993,Agricultural soils,0,0,7.42686024523113,2213.20435307888
AUT,1993,Prescribed Burning of Savannas,0,0,0,0
AUT,1993,Field Burning of Agricultural Residues,0,0.02806178232492,0.0007275276899,0.9183478097132
AUT,1993,Liming,42.5261285999725,0,0,42.5261285999725
AUT,1993,Urea Application,15.5744285714286,0,0,15.5744285714286
AUT,1993,Other Carbon-containing Fertilizers,29.7614991181658,0,0,29.7614991181658
AUT,1993,Other Sources,0,0,0,0
AUT,1994,Total Agriculture,83.2582937891385,196.948874745669,9.19990917864489,7748.55309766704
AUT,1994,Enteric Fermentation,0,175.440734279934,0,4386.01835699835
AUT,1994,Manure Management,0,21.4764964058017,1.82164785003974,1079.76346945688
AUT,1994,Rice cultivation,0,0,0,0
AUT,1994,Agricultural soils,0,0,7.37744092705132,2198.47739626129
AUT,1994,Prescribed Burning of Savannas,0,0,0,0
AUT,1994,Field Burning of Agricultural Residues,0,0.03164405993339,0.00082040155383,1.03558116137609
AUT,1994,Liming,36.8179234187681,0,0,36.8179234187681
AUT,1994,Urea Application,17.9142857142857,0,0,17.9142857142857
AUT,1994,Other Carbon-containing Fertilizers,28.5260846560847,0,0,28.5260846560847
AUT,1994,Other Sources,0,0,0,0
AUT,1995,Total Agriculture,84.220707356912,199.898814149451,9.2417146451064,7835.72202533488
AUT,1995,Enteric Fermentation,0,178.509343508574,0,4462.73358771434
AUT,1995,Manure Management,0,21.357647534629,1.83955775469399,1082.12939926453
AUT,1995,Rice cultivation,0,0,0,0
AUT,1995,Agricultural soils,0,0,7.40133184691709,2205.59689038129
AUT,1995,Prescribed Burning of Savannas,0,0,0,0
AUT,1995,Field Burning of Agricultural Residues,0,0.0318231062481,0.00082504349532,1.04144061780786
AUT,1995,Liming,35.6762823825272,0,0,35.6762823825272
AUT,1995,Urea Application,19.7877855102041,0,0,19.7877855102041
