Category,CO2,CH4,N2O,Country,Year,CO2eq.kt,EM.Source
total livestock,0,203.103323737639,1.92002438672138,AUT,1990,5649.75036068393,total
enteric fermentation,0,180.520885156673,0,AUT,1990,4513.02212891682,total
cattle subtotal,0,173.351185806564,0,AUT,1990,4333.7796451641,enteric fermentation
dairy cattle,0,97.8802758211743,0,AUT,1990,2447.00689552936,enteric fermentation
non-dairy cattle,0,75.4709099853895,0,AUT,1990,1886.77274963474,enteric fermentation
manure management,0,22.5824385809659,1.92002438672138,AUT,1990,1136.72823176712,total
cattle subtotal,0,16.6959236164291,1.1086868624567,AUT,1990,747.786775422824,manure management
dairy cattle,0,10.2420240780702,0.54411899441119,AUT,1990,418.19806228629,manure management
non-dairy cattle,0,6.4538995383589,0.56456786804551,AUT,1990,329.588713136535,manure management
indirect n2o emissions,0,0,0.3870346408759,AUT,1990,115.336322981018,manure management
total livestock,0,200.711837345692,1.91641257318294,AUT,1991,5588.88688045081,total
enteric fermentation,0,178.331433798835,0,AUT,1991,4458.28584497088,total
cattle subtotal,0,170.8004715634,0,AUT,1991,4270.011789085,enteric fermentation
dairy cattle,0,94.9968404347652,0,AUT,1991,2374.92101086913,enteric fermentation
non-dairy cattle,0,75.8036311286349,0,AUT,1991,1895.09077821587,enteric fermentation
manure management,0,22.3804035468564,1.91641257318294,AUT,1991,1130.60103547993,total
cattle subtotal,0,16.4055910385247,1.09069858257524,AUT,1991,735.167953570539,manure management
dairy cattle,0,9.92168866073216,0.52770729859925,AUT,1991,405.298991500881,manure management
non-dairy cattle,0,6.48390237779252,0.56299128397599,AUT,1991,329.868962069658,manure management
indirect n2o emissions,0,0,0.39603093931163,AUT,1991,118.017219914866,manure management
total livestock,0,192.315329391241,1.83981334565055,AUT,1992,5356.14761178489,total
enteric fermentation,0,170.825288553261,0,AUT,1992,4270.63221383152,total
cattle subtotal,0,163.421524880837,0,AUT,1992,4085.53812202093,enteric fermentation
dairy cattle,0,91.5011299924829,0,AUT,1992,2287.52824981207,enteric fermentation
non-dairy cattle,0,71.9203948883545,0,AUT,1992,1798.00987220886,enteric fermentation
manure management,0,21.4900408379801,1.83981334565055,AUT,1992,1085.51539795337,total
cattle subtotal,0,15.689512543301,1.03912462892095,AUT,1992,701.896953000969,manure management
dairy cattle,0,9.53765125527869,0.50688092030838,AUT,1992,389.491795633864,manure management
non-dairy cattle,0,6.15186128802235,0.53224370861257,AUT,1992,312.405157367105,manure management
indirect n2o emissions,0,0,0.38412958525637,AUT,1992,114.470616406398,manure management
total livestock,0,197.53285229093,1.83122335169032,AUT,1993,5484.02586607697,total
enteric fermentation,0,175.826695405937,0,AUT,1993,4395.66738514843,total
cattle subtotal,0,168.2063439061,0,AUT,1993,4205.15859765249,enteric fermentation
dairy cattle,0,90.6376389791821,0,AUT,1993,2265.94097447955,enteric fermentation
non-dairy cattle,0,77.5687049269176,0,AUT,1993,1939.21762317294,enteric fermentation
manure management,0,21.7061568849926,1.83122335169032,AUT,1993,1088.35848092853,total
cattle subtotal,0,16.0299107123019,1.03626468508166,AUT,1993,709.554643961882,manure management
dairy cattle,0,9.41715943149262,0.49964927239906,AUT,1993,384.324468962235,manure management
non-dairy cattle,0,6.61275128080925,0.5366154126826,AUT,1993,325.230174999646,manure management
indirect n2o emissions,0,0,0.38765720823778,AUT,1993,115.521848054858,manure management
total livestock,0,196.917230685736,1.82164785003974,AUT,1994,5465.78182645524,total
enteric fermentation,0,175.440734279934,0,AUT,1994,4386.01835699835,total
cattle subtotal,0,167.765200186792,0,AUT,1994,4194.13000466981,enteric fermentation
dairy cattle,0,89.0980786123942,0,AUT,1994,2227.45196530985,enteric fermentation
non-dairy cattle,0,78.6671215743983,0,AUT,1994,1966.67803935996,enteric fermentation
