Country,Year,Emission.Source,Application,IEF,Direct.EM,FracGASF,FracGASM,FracLEACH-(H),T.Frac.GAS,T.Frac.Leach,IEF.GAS,IEF.Leach,EM.GAS,EM.Leach,N2O.EM,Other carbon-containing fertlizers,Urea,kt.CO2eq,kg.CO2eq.kg.N,Total.Area.kha,EM.Ha
AUT,1990,Inorganic N emissions,139979000,0.01,2.19967,0.04876647344504,0.1606097616408,0.15154,6826282.18636326,21212417.66,0.01,0.0075,0.107270148642851,0.25000349385,2.55694364249285,30.6616754850088,9.59592857142857,802.226809519307,5.73105115423961,1500.82428571429,0.534524139271575
AUT,1990,Organic N emissions,165383158.990611,0.01,2.59887821270959,0.04876647344504,0.1606097616408,0.15154,26562149.7448846,25062163.9134372,0.01,0.0075,0.417405210276757,0.29537550326551,3.31165892625186,0,0,986.874360023053,5.96719984094075,1500.82428571429,0.657554897942878
AUT,1991,Inorganic N emissions,139536000,0.01,2.19270857142857,0.0487691057527,0.16070424458929,0.15154,6805045.94030875,21145285.44,0.01,0.0075,0.106936436204852,0.249212292685714,2.54885730031914,30.820758377425,11.5751428571429,801.955376729671,5.74730088815553,1499.6796952381,0.534751106703719
AUT,1991,Organic N emissions,164314710.858694,0.01,2.58208831349377,0.0487691057527,0.16070424458929,0.15154,26406071.483454,24900251.2835265,0.01,0.0075,0.414952551882849,0.293467247270134,3.29050811264675,0,0,980.571417568732,5.967642291091,1499.6796952381,0.653853900057672
AUT,1992,Inorganic N emissions,137420500,0.01,2.159465,0.04790272284514,0.16024763590018,0.15154,6582816.12474056,20824702.57,0.01,0.0075,0.10344425338878,0.245433994575,2.50834324796378,31.0234920634921,13.6195714285714,792.12935138527,5.76427353550067,1498.5351047619,0.528602465746794
AUT,1992,Organic N emissions,157880734.746792,0.01,2.48098297459245,0.04790272284514,0.16024763590018,0.15154,25300014.4973568,23925246.5435289,0.01,0.0075,0.397571656387036,0.281976119977304,3.16053075095679,0,0,941.838163785124,5.96550405782971,1498.5351047619,0.628505906062688
AUT,1993,Inorganic N emissions,130196000,0.01,2.04593714285714,0.04688937640881,0.16059006203121,0.15154,6104809.25092143,19729901.84,0.01,0.0075,0.0959327168001939,0.232530985971429,2.37440084562876,29.7614991181658,15.5744285714286,752.907379686966,5.78287643005135,1497.39051428571,0.502812975308662
AUT,1993,Organic N emissions,158734143.579125,0.01,2.49439368481483,0.04688937640881,0.16059006203121,0.15154,25491125.9638427,24054572.1179806,0.01,0.0075,0.400574836574671,0.283500314247629,3.17846883563713,0,0,947.183713019864,5.96710759048331,1497.39051428571,0.632556239660496
AUT,1994,Inorganic N emissions,126158500,0.01,1.98249071428571,0.04710584110445,0.15997698966588,0.15154,5942802.25497576,19118059.09,0.01,0.0075,0.0933868925781904,0.225319982132143,2.30119758899604,28.5260846560847,17.9142857142857,732.197251891191,5.80378850328112,1495.29575714286,0.489667176806707
AUT,1994,Organic N emissions,158283250.077664,0.01,2.48730821550615,0.04710584110445,0.15997698966588,0.15154,25321677.8619564,23986243.7167692,0.01,0.0075,0.397912080687886,0.282695015233351,3.16791531142739,0,0,944.038762805361,5.96423666017822,1495.29575714286,0.631339157016793
